"age" "education" "married" "black" "hispanic" "re74" "re75" "nodegree" "NoIncome74" "NoIncome75"
47 12 0 0 0 0 0 0 1 1
50 12 1 1 0 0 0 0 1 1
44 12 0 0 0 0 0 0 1 1
28 12 1 1 0 0 0 0 1 1
54 12 1 0 0 0 0 0 1 1
55 12 1 0 1 0 0 0 1 1
47 12 1 0 0 0 0 0 1 1
25 12 0 1 0 0 0 0 1 1
44 12 1 0 0 0 0 0 1 1
50 12 1 1 0 0 0 0 1 1
23 12 0 1 0 0 0 0 1 1
49 14 1 0 0 0 0 0 1 1
55 14 1 0 0 0 0 0 1 1
34 14 1 1 0 0 0 0 1 1
34 16 1 0 0 0 0 0 1 1
55 13 1 0 1 0 0 0 1 1
52 12 1 0 0 0 0 0 1 1
52 15 1 0 0 0 0 0 1 1
30 16 1 0 0 0 0 0 1 1
21 12 0 0 0 0 0 0 1 1
30 17 0 0 0 0 0 0 1 1
44 12 1 0 0 0 0 0 1 1
46 12 0 0 0 0 0 0 1 1
53 17 1 0 0 0 0 0 1 1
26 16 0 0 0 0 0 0 1 1
49 12 1 0 0 0 0 0 1 1
39 15 1 0 0 0 0 0 1 1
26 17 1 0 0 0 0 0 1 1
32 16 1 0 0 0 0 0 1 1
34 12 1 0 0 0 0 0 1 1
31 14 1 0 0 0 0 0 1 1
39 17 1 0 1 0 0 0 1 1
40 17 1 0 0 0 0 0 1 1
31 12 1 0 0 0 0 0 1 1
27 13 1 0 0 0 0 0 1 1
48 12 1 0 0 0 0 0 1 1
41 13 1 0 0 0 0 0 1 1
26 14 0 0 0 0 0 0 1 1
50 17 0 0 0 0 0 0 1 1
48 12 1 0 0 0 0 0 1 1
45 16 1 0 0 0 0 0 1 1
37 13 1 0 0 0 0 0 1 1
33 12 1 0 0 0 0 0 1 1
31 12 1 0 0 0 0 0 1 1
36 12 1 1 0 0 0 0 1 1
44 13 1 0 0 0 0 0 1 1
28 17 1 0 0 0 0 0 1 1
30 17 1 0 0 0 0 0 1 1
42 16 1 0 0 0 0 0 1 1
30 12 1 0 0 0 0 0 1 1
27 16 1 0 0 0 0 0 1 1
37 12 1 0 0 0 0 0 1 1
37 12 1 0 0 0 0 0 1 1
45 12 1 0 0 0 0 0 1 1
35 16 1 0 0 0 0 0 1 1
37 17 1 0 0 0 0 0 1 1
27 17 1 0 0 0 0 0 1 1
47 14 1 0 0 0 0 0 1 1
48 12 1 0 0 0 0 0 1 1
42 12 1 0 0 0 0 0 1 1
43 12 1 0 0 0 0 0 1 1
46 12 1 0 0 0 0 0 1 1
46 12 1 0 0 0 0 0 1 1
46 12 1 0 0 0 0 0 1 1
29 16 1 0 0 0 0 0 1 1
39 13 1 0 0 0 0 0 1 1
32 12 1 0 0 0 0 0 1 1
48 16 1 0 0 0 0 0 1 1
48 16 1 0 0 0 0 0 1 1
41 13 1 0 0 0 0 0 1 1
42 13 1 0 0 0 0 0 1 1
42 13 1 0 0 0 0 0 1 1
42 13 1 0 0 0 0 0 1 1
54 13 1 0 0 0 0 0 1 1
29 14 1 0 0 0 0 0 1 1
54 12 1 0 0 0 0 0 1 1
54 12 1 0 0 0 0 0 1 1
26 14 1 0 0 0 0 0 1 1
43 17 1 0 0 0 0 0 1 1
54 12 1 0 0 0 0 0 1 1
37 12 1 0 0 0 0 0 1 1
54 16 1 0 0 0 0 0 1 1
48 17 1 0 0 0 0 0 1 1
44 12 1 0 0 0 0 0 1 1
54 12 1 0 0 0 0 0 1 1
38 12 1 0 0 0 0 0 1 1
37 13 1 0 0 0 0 0 1 1
27 17 1 0 0 0 0 0 1 1
51 12 1 0 0 0 0 0 1 1
39 12 1 0 0 0 0 0 1 1
55 14 1 0 0 0 0 0 1 1
54 13 1 0 0 0 0 0 1 1
54 13 1 0 0 0 0 0 1 1
34 12 1 0 0 0 0 0 1 1
50 14 1 0 0 0 0 0 1 1
50 12 1 0 0 0 0 0 1 1
21 14 0 0 1 0 71.6128997802734 0 1 0
26 12 1 0 0 0 71.6128997802734 0 1 0
21 13 0 0 0 0 692.854858398438 0 1 0
23 16 1 0 0 0 1521.77416992188 0 1 0
21 15 0 0 0 0 3222.58056640625 0 1 0
23 14 0 0 0 0 3401.61279296875 0 1 0
27 16 1 0 0 0 4833.87109375 0 1 0
25 12 1 0 0 0 5729.0322265625 0 1 0
27 17 0 0 0 0 6087.0966796875 0 1 0
55 12 1 0 0 0 6266.12890625 0 1 0
20 12 1 0 0 0 7161.29052734375 0 1 0
18 12 1 0 0 0 8056.45166015625 0 1 0
27 12 1 0 0 0 8235.484375 0 1 0
28 16 1 0 0 0 8951.61328125 0 1 0
36 12 1 1 0 0 8951.61328125 0 1 0
33 13 1 1 0 0 10741.9345703125 0 1 0
36 12 1 0 0 0 10741.9345703125 0 1 0
27 13 1 0 0 0 16112.9033203125 0 1 0
45 17 1 0 0 0 16112.9033203125 0 1 0
45 17 1 0 0 0 16112.9033203125 0 1 0
45 17 1 0 0 0 16112.9033203125 0 1 0
31 12 1 0 0 0 17903.2265625 0 1 0
34 12 1 0 0 0 17903.2265625 0 1 0
34 12 1 0 0 0 17903.2265625 0 1 0
47 14 1 0 0 0 17903.2265625 0 1 0
35 16 1 0 0 0 19693.548828125 0 1 0
43 17 1 0 0 0 21161.61328125 0 1 0
25 12 1 1 0 0 21483.87109375 0 1 0
29 15 0 0 0 0 21483.87109375 0 1 0
31 12 1 0 0 0 21483.87109375 0 1 0
52 12 1 0 0 0 21483.87109375 0 1 0
22 16 0 0 0 0 22558.064453125 0 1 0
53 15 1 0 0 0 24169.35546875 0 1 0
29 17 1 0 0 0 25959.677734375 0 1 0
31 13 1 0 0 0 25959.677734375 0 1 0
35 12 1 0 0 0 26138.7109375 0 1 0
29 16 1 0 0 0 26854.83984375 0 1 0
39 12 1 0 0 0 28645.16015625 0 1 0
37 14 1 0 0 0 32225.806640625 0 1 0
30 14 1 0 0 0 32225.806640625 0 1 0
43 17 1 0 0 0 42251.61328125 0 1 0
32 17 1 0 0 0 46548.38671875 0 1 0
44 12 1 0 0 0 71612.90625 0 1 0
32 16 1 0 0 577.983703613281 6910.64501953125 0 0 0
43 12 1 1 0 715.132385253906 1879.83874511719 0 0 0
24 12 0 1 0 783.706726074219 0 0 0 1
22 13 0 0 0 783.706726074219 0 0 0 1
35 15 1 0 0 979.633422851562 537.096740722656 0 0 0
26 15 0 0 0 979.633422851562 1879.83874511719 0 0 0
29 17 1 0 0 979.633422851562 8951.61328125 0 0 0
23 12 0 1 0 1077.5966796875 3222.58056640625 0 0 0
19 12 1 0 0 1154.00805664062 8593.548828125 0 0 0
48 16 1 0 0 1240.21594238281 1466.27416992188 0 0 0
48 16 1 0 0 1240.21594238281 1466.27416992188 0 0 0
22 12 1 1 0 1269.60485839844 0 0 0 1
20 12 0 1 0 1367.56823730469 12532.2578125 0 0 0
24 17 1 0 0 1371.48681640625 0 0 0 1
27 16 1 0 0 1469.45007324219 1253.22583007812 0 0 0
21 14 0 0 0 1506.67614746094 2685.48388671875 0 0 0
53 13 1 0 0 1567.41345214844 3938.70971679688 0 0 0
53 13 1 0 0 1567.41345214844 3938.70971679688 0 0 0
53 16 1 0 0 1665.37683105469 0 0 0 1
22 15 1 0 0 1763.34008789062 5370.9677734375 0 0 0
21 15 0 0 0 1763.34008789062 9667.7421875 0 0 0
30 12 1 0 0 1959.26684570312 1790.32263183594 0 0 0
21 12 0 1 0 1959.26684570312 5460.48388671875 0 0 0
27 16 1 0 0 1959.26684570312 17545.16015625 0 0 0
22 15 0 0 0 1967.10388183594 2864.51611328125 0 0 0
22 12 1 1 0 2006.28918457031 2470.64526367188 0 0 0
23 13 1 0 0 2155.19360351562 5370.9677734375 0 0 0
33 12 1 0 0 2351.1201171875 0 0 0 1
24 13 0 0 0 2351.1201171875 3127.69360351562 0 0 0
20 12 0 1 0 2351.1201171875 4475.806640625 0 0 0
22 16 0 0 0 2351.1201171875 23274.193359375 0 0 0
19 12 1 0 0 2547.046875 10741.9345703125 0 0 0
22 15 1 0 0 2547.046875 17187.09765625 0 0 0
43 14 1 0 0 2645.01025390625 0 0 0 1
39 12 1 0 0 2742.97338867188 7161.29052734375 0 0 0
28 12 0 1 0 2938.90014648438 2864.51611328125 0 0 0
19 14 0 0 0 2938.90014648438 3222.58056640625 0 0 0
26 17 1 0 0 2938.90014648438 12532.2578125 0 0 0
18 12 1 0 0 3134.82690429688 11100 0 0 0
23 15 1 0 0 3320.95727539062 2506.45166015625 0 0 0
24 12 0 1 0 3330.75366210938 4654.8388671875 0 0 0
27 12 1 0 0 3526.68017578125 0 0 0 1
29 17 1 0 0 3526.68017578125 15217.7421875 0 0 0
22 12 0 1 0 3579.58032226562 17133.38671875 0 0 0
27 12 1 0 0 3722.60693359375 254.225814819336 0 0 0
27 15 1 0 0 3722.60693359375 4654.8388671875 0 0 0
20 12 0 1 0 3730.44409179688 8951.61328125 0 0 0
27 12 1 1 0 3918.53369140625 1994.41943359375 0 0 0
